e_slash_star_pie,e_slash_star_lin,lambda_H_pie,lambda_H_lin,lambda_H_slash_star_pie,lambda_H_slash_star_lin,lambda_F_slash_star_pie,lambda_F_slash_star_lin,lambda_F_pie,lambda_F_lin,utility_H_with_delta_pie,utility_H_with_delta_lin,utility_F_with_delta_pie,utility_F_with_delta_lin,utility_H_without_delta_pie,utility_H_without_delta_lin,utility_F_without_delta_pie,utility_F_without_delta_lin,gamma_H_pie,gamma_H_lin,chi_H_pie,chi_H_lin,p_H_pie,p_H_lin,p_F_star_pie,p_F_star_lin,i_H_notional_pie,i_H_notional_lin,i_H_pie,i_H_lin,i_F_pie,i_F_lin,c_H_W_pie,c_H_W_lin,c_F_W_pie,c_F_W_lin,c_H_H_pie,c_H_H_lin,c_F_H_pie,c_F_H_lin,c_H_F_pie,c_H_F_lin,c_F_F_pie,c_F_F_lin,y_H_pie,y_H_lin,y_F_pie,y_F_lin,l_H_pie,l_H_lin,l_F_pie,l_F_lin,p_H_W_pie,p_H_W_lin,p_F_W_star_pie,p_F_W_star_lin,p_H_W_bar_pie,p_H_W_bar_lin,p_F_W_star_bar_pie,p_F_W_star_bar_lin,p_H_bar_pie,p_H_bar_lin,p_F_star_bar_pie,p_F_star_bar_lin,p_H_bar_y_H_pie,p_H_bar_y_H_lin,p_H_W_c_H_W_pie,p_H_W_c_H_W_lin,p_H_W_slash_p_H_pie,p_H_W_slash_p_H_lin,pi_H_pie,pi_H_lin,pi_F_star_pie,pi_F_star_lin,pi_H_W_pie,pi_H_W_lin,pi_F_W_star_pie,pi_F_W_star_lin,p_H_tilde_pie,p_H_tilde_lin,p_F_star_tilde_pie,p_F_star_tilde_lin,v_H_pie,v_H_lin,v_F_pie,v_F_lin,w_H_pie,w_H_lin,w_F_pie,w_F_lin,p_F_bar_pie,p_F_bar_lin,p_H_star_bar_pie,p_H_star_bar_lin,t_H_pie,t_H_lin,t_F_pie,t_F_lin,b_H_pie,b_H_lin,b_F_star_pie,b_F_star_lin,beta_H_pie,beta_H_lin,beta_F_pie,beta_F_lin,a_H_pie,a_H_lin,a_F_pie,a_F_lin,tau_H_pie,tau_H_lin,tau_F_pie,tau_F_lin,Delta_H_pie,Delta_H_lin,Delta_F_pie,Delta_F_lin
0.0042217874,0.0042217874,0.66386291,0.66386291,0.6680847,0.6680847,-0.045560632,-0.045560632,-0.049782419,-0.049782419,-0.25913396,-0.25913396,0.091194447,0.091194447,-0.25910441,-0.25910441,0.091280239,0.091280239,1.9094254e-17,1.9094254e-17,1.0512945e-17,1.0512945e-17,-0.00027316864,-0.00027316864,-0.00267382,-0.00267382,9.0357407e-05,9.0357407e-05,9.0357407e-05,9.0357407e-05,-0.00401073,-0.00401073,-0.66386291,-0.66386291,0.048507622,0.048507622,-0.56405128,-0.56405128,0.0075083382,0.0075083382,-0.099811632,-0.099811632,0.040999284,0.040999284,-0.55654294,-0.55654294,-0.058812347,-0.058812347,-0.55654294,-0.55654294,-0.058812347,-0.058812347,1.7717138e-09,1.7717138e-09,-0.0029469904,-0.0029469904,1.771714e-09,1.771714e-09,-0.0029469904,-0.0029469904,-0.00027316864,-0.00027316864,-0.00267382,-0.00267382,-0.55681611,-0.55681611,-0.66386291,-0.66386291,0.00027317041,0.00027317041,-0.00027316864,-0.00027316864,-0.00267382,-0.00267382,1.771714e-09,1.771714e-09,-0.0029469904,-0.0029469904,-0.027316864,-0.027316864,-0.01069528,-0.01069528,11.284834,11.284834,-0.93384058,-0.93384058,29.954581,29.954581,-0.62259533,-0.62259533,0.0015479674,0.0015479674,-0.0044949561,-0.0044949561,-0.11136322,-0.11136322,-0.012297233,-0.012297233,0.1070468,0.1070468,-0.10659677,-0.10659677,0.0199,0.0199,1.0248645e-18,1.0248645e-18,-8.5712069e-17,-8.5712069e-17,-1.4351331e-17,-1.4351331e-17,0,0,0,0,4.0631192e-05,4.0631192e-05,0.00011796367,0.00011796367
0.0083023694,0.0083023694,0.643773,0.643773,0.65207537,0.65207537,-0.041569956,-0.041569956,-0.049872325,-0.049872325,-0.25168781,-0.25168781,0.088835377,0.088835377,-0.25163196,-0.25163196,0.088981611,0.088981611,1.7742946e-09,1.7742946e-09,3.0485639e-17,3.0485639e-17,-0.00053227846,-0.00053227846,-0.0052861421,-0.0052861421,4.4517265e-05,4.4517265e-05,4.4519922e-05,4.4519922e-05,-0.0039184832,-0.0039184832,-0.643773,-0.643773,0.047388374,0.047388374,-0.54675462,-0.54675462,0.0075606905,0.0075606905,-0.097018385,-0.097018385,0.039827683,0.039827683,-0.53919393,-0.53919393,-0.057190702,-0.057190702,-0.53919393,-0.53919393,-0.057190702,-0.057190702,-2.6061736e-09,-2.6061736e-09,-0.005818418,-0.005818418,-2.6027479e-09,-2.6027479e-09,-0.005818418,-0.005818418,-0.00053227846,-0.00053227846,-0.0052861421,-0.0052861421,-0.5397262,-0.5397262,-0.643773,-0.643773,0.00053227586,0.00053227586,-0.00025910982,-0.00025910982,-0.0026123221,-0.0026123221,-4.3744619e-09,-4.3744619e-09,-0.0028714276,-0.0028714276,-0.026184151,-0.026184151,-0.013123109,-0.013123109,11.309402,11.309402,-1.079416,-1.079416,29.254246,29.254246,-0.69087749,-0.69087749,0.0030162273,0.0030162273,-0.0088346478,-0.0088346478,-0.10794524,-0.10794524,-0.012495369,-0.012495369,0.21163152,0.21163152,-0.20988895,-0.20988895,0.0194423,0.0194423,-2.2100977e-16,-2.2100977e-16,-1.2037611e-16,-1.2037611e-16,-2.8587643e-16,-2.8587643e-16,7.0530387e-16,7.0530387e-16,-1.4813858e-15,-1.4813858e-15,7.6781467e-05,7.6781467e-05,0.0002010725,0.0002010725
0.01224556,0.01224556,0.6241887,0.6241887,0.63643426,0.63643426,-0.037671065,-0.037671065,-0.049916625,-0.049916625,-0.24441681,-0.24441681,0.086540324,0.086540324,-0.24433767,-0.24433767,0.086728167,0.086728167,-8.2936539e-10,-8.2936539e-10,4.8277091e-17,4.8277091e-17,-0.00077773561,-0.00077773561,-0.0078383808,-0.0078383808,9.1610731e-08,9.1610731e-08,9.4126751e-08,9.4126751e-08,-0.0038283581,-0.0038283581,-0.62418871,-0.62418871,0.046287183,0.046287183,-0.52989932,-0.52989932,0.0076041541,0.0076041541,-0.094289382,-0.094289382,0.038683029,0.038683029,-0.52229517,-0.52229517,-0.055606354,-0.055606354,-0.52229517,-0.52229517,-0.055606354,-0.055606354,1.6279537e-09,1.6279537e-09,-0.0086161181,-0.0086161181,1.6311991e-09,1.6311991e-09,-0.0086161181,-0.0086161181,-0.00077773561,-0.00077773561,-0.0078383808,-0.0078383808,-0.5230729,-0.5230729,-0.6241887,-0.6241887,0.00077773724,0.00077773724,-0.00024545715,-0.00024545715,-0.0025522387,-0.0025522387,4.233947e-09,4.233947e-09,-0.0027977001,-0.0027977001,-0.025077993,-0.025077993,-0.015495097,-0.015495097,11.335312,11.335312,-1.2216433,-1.2216433,28.572438,28.572438,-0.75758916,-0.75758916,0.0044071793,0.0044071793,-0.013023296,-0.013023296,-0.10461458,-0.10461458,-0.012688947,-0.012688947,0.3138108,0.3138108,-0.3100145,-0.3100145,0.018995127,0.018995127,-4.1514656e-16,-4.1514656e-16,-1.5304365e-16,-1.5304365e-16,-5.3559369e-16,-5.3559369e-16,1.3238123e-15,1.3238123e-15,-2.8002125e-15,-2.8002125e-15,0.00010881935,0.00010881935,0.00025828409,0.00025828409
0.016054873,0.016054873,0.60509803,0.60509803,0.6211529,0.6211529,-0.033861849,-0.033861849,-0.049916721,-0.049916721,-0.23731709,-0.23731709,0.084303439,0.084303439,-0.23721739,-0.23721739,0.084518933,0.084518933,8.010365e-10,8.010365e-10,6.4109642e-17,6.4109642e-17,-0.001009936,-0.001009936,-0.010331918,-0.010331918,-4.2743428e-05,-4.2743428e-05,-4.274105e-05,-4.274105e-05,-0.0037403058,-0.0037403058,-0.60509803,-0.60509803,0.0452037,0.0452037,-0.51347488,-0.51347488,0.0076389986,0.0076389986,-0.091623147,-0.091623147,0.037564702,0.037564702,-0.50583588,-0.50583588,-0.054058446,-0.054058446,-0.50583588,-0.50583588,-0.054058446,-0.054058446,-2.4088128e-09,-2.4088128e-09,-0.011341852,-0.011341852,-2.4057435e-09,-2.4057435e-09,-0.011341852,-0.011341852,-0.001009936,-0.001009936,-0.010331918,-0.010331918,-0.50684582,-0.50684582,-0.60509803,-0.60509803,0.0010099336,0.0010099336,-0.00023220038,-0.00023220038,-0.0024935372,-0.0024935372,-4.0369426e-09,-4.0369426e-09,-0.0027257336,-0.0027257336,-0.023997774,-0.023997774,-0.01781253,-0.01781253,11.362512,11.362512,-1.3605993,-1.3605993,27.908705,27.908705,-0.82276647,-0.82276647,0.0057229545,0.0057229545,-0.017064809,-0.017064809,-0.10136916,-0.10136916,-0.012878073,-0.012878073,0.41363995,0.41363995,-0.40710395,-0.40710395,0.018558239,0.018558239,-5.8432173e-16,-5.8432173e-16,-1.8382811e-16,-1.8382811e-16,-7.6480354e-16,-7.6480354e-16,1.8646389e-15,1.8646389e-15,-3.9732033e-15,-3.9732033e-15,0.00013708897,0.00013708897,0.00029630558,0.00029630558
0.019733952,0.019733952,0.58648906,0.58648906,0.60622301,0.60622301,-0.030140244,-0.030140244,-0.049874196,-0.049874196,-0.23038477,-0.23038477,0.082120148,0.082120148,-0.23026702,-0.23026702,0.08235299,0.08235299,-1.6053916e-09,-1.6053916e-09,7.8183303e-17,7.8183303e-17,-0.0012292655,-0.0012292655,-0.012768104,-0.012768104,-8.4239781e-05,-8.4239781e-05,-8.4237538e-05,-8.4237538e-05,-0.0036542788,-0.0036542788,-0.58648906,-0.58648906,0.044137615,0.044137615,-0.49747082,-0.49747082,0.0076655193,0.0076655193,-0.089018236,-0.089018236,0.036472096,0.036472096,-0.4898053,-0.4898053,-0.05254614,-0.05254614,-0.4898053,-0.4898053,-0.05254614,-0.05254614,1.4960224e-09,1.4960224e-09,-0.013997371,-0.013997371,1.4989196e-09,1.4989196e-09,-0.013997371,-0.013997371,-0.0012292655,-0.0012292655,-0.012768104,-0.012768104,-0.49103457,-0.49103457,-0.58648906,-0.58648906,0.001229267,0.001229267,-0.00021932955,-0.00021932955,-0.0024361859,-0.0024361859,3.9046631e-09,3.9046631e-09,-0.0026555193,-0.0026555193,-0.022942891,-0.022942891,-0.020076662,-0.020076662,11.390952,11.390952,-1.4963593,-1.4963593,27.262606,27.262606,-0.8864447,-0.8864447,0.006965848,0.006965848,-0.020963218,-0.020963218,-0.098206914,-0.098206914,-0.013062849,-0.013062849,0.51117303,0.51117303,-0.50128078,-0.50128078,0.0181314,0.0181314,-7.3117433e-16,-7.3117433e-16,-2.1283683e-16,-2.1283683e-16,-9.7473635e-16,-9.7473635e-16,2.3359756e-15,2.3359756e-15,-5.0153971e-15,-5.0153971e-15,0.0001619115,0.0001619115,0.00032015671,0.00032015671
0.023286145,0.023286145,0.56835036,0.56835036,0.5916365,0.5916365,-0.026504237,-0.026504237,-0.049790382,-0.049790382,-0.22361613,-0.22361613,0.079986792,0.079986792,-0.22348261,-0.22348261,0.080229405,0.080229405,-1.0704637e-10,-1.0704637e-10,9.0677988e-17,9.0677988e-17,-0.0014361005,-0.0014361005,-0.015148258,-0.015148258,-0.00012423102,-0.00012423102,-0.00012422891,-0.00012422891,-0.0035702304,-0.0035702304,-0.56835036,-0.56835036,0.043088593,0.043088593,-0.48187712,-0.48187712,0.0076839724,0.0076839724,-0.086473237,-0.086473237,0.03540462,0.03540462,-0.47419315,-0.47419315,-0.051068617,-0.051068617,-0.47419315,-0.47419315,-0.051068617,-0.051068617,-2.2260489e-09,-2.2260489e-09,-0.016584356,-0.016584356,-2.2233198e-09,-2.2233198e-09,-0.016584356,-0.016584356,-0.0014361005,-0.0014361005,-0.015148258,-0.015148258,-0.47562925,-0.47562925,-0.56835036,-0.56835036,0.0014360982,0.0014360982,-0.00020683492,-0.00020683492,-0.0023801536,-0.0023801536,-3.7222395e-09,-3.7222395e-09,-0.0025869848,-0.0025869848,-0.021912757,-0.021912757,-0.022288718,-0.022288718,11.420585,11.420585,-1.6289969,-1.6289969,26.633711,26.633711,-0.94865833,-0.94865833,0.0081378878,0.0081378878,-0.024722246,-0.024722246,-0.095125849,-0.095125849,-0.013243375,-0.013243375,0.60646285,0.60646285,-0.59266203,-0.59266203,0.017714377,0.017714377,-8.5807607e-16,-8.5807607e-16,-2.4017141e-16,-2.4017141e-16,-1.166556e-15,-1.166556e-15,2.7451846e-15,2.7451846e-15,-5.940317e-15,-5.940317e-15,0.00018358647,0.00018358647,0.0003335922,0.0003335922
0.026714919,0.026714919,0.55067057,0.55067057,0.57738549,0.57738549,-0.022951858,-0.022951858,-0.049666777,-0.049666777,-0.21700747,-0.21700747,0.077900449,0.077900449,-0.21686027,-0.21686027,0.078147299,0.078147299,-2.3308326e-09,-2.3308326e-09,1.0175553e-16,1.0175553e-16,-0.0016308074,-0.0016308074,-0.017473668,-0.017473668,-0.00016295063,-0.00016295063,-0.00016294865,-0.00016294865,-0.0034881151,-0.0034881151,-0.55067057,-0.55067057,0.042056334,0.042056334,-0.4666838,-0.4666838,0.0076946376,0.0076946376,-0.083986773,-0.083986773,0.034361696,0.034361696,-0.45898916,-0.45898916,-0.049625077,-0.049625077,-0.45898916,-0.45898916,-0.049625077,-0.049625077,1.3751107e-09,1.3751107e-09,-0.019104476,-0.019104476,1.3776755e-09,1.3776755e-09,-0.019104476,-0.019104476,-0.0016308074,-0.0016308074,-0.017473668,-0.017473668,-0.46061997,-0.46061997,-0.55067057,-0.55067057,0.0016308088,0.0016308088,-0.00019470698,-0.00019470698,-0.0023254101,-0.0023254101,3.6009953e-09,3.6009953e-09,-0.0025201206,-0.0025201206,-0.020906798,-0.020906798,-0.024449898,-0.024449898,11.451362,11.451362,-1.7585837,-1.7585837,26.021599,26.021599,-1.009441,-1.009441,0.0092412513,0.0092412513,-0.028345726,-0.028345726,-0.092123993,-0.092123993,-0.013419749,-0.013419749,0.699561,0.699561,-0.68135856,-0.68135856,0.017306947,0.017306947,-9.6715811e-16,-9.6715811e-16,-2.65928e-16,-2.65928e-16,-1.3413634e-15,-1.3413634e-15,3.0988816e-15,3.0988816e-15,-6.7601222e-15,-6.7601222e-15,0.00020239303,0.00020239303,0.00033941843,0.00033941843
0.030023461,0.030023461,0.53343878,0.53343878,0.56346225,0.56346225,-0.019481183,-0.019481183,-0.049504645,-0.049504645,-0.21055519,-0.21055519,0.075858705,0.075858705,-0.21039622,-0.21039622,0.076105782,0.076105782,-9.535176e-10,-9.535176e-10,1.1156148e-16,1.1156148e-16,-0.0018137439,-0.0018137439,-0.019745593,-0.019745593,-0.00020024627,-0.00020024627,-0.00020024441,-0.00020024441,-0.0034078885,-0.0034078885,-0.53343878,-0.53343878,0.041040518,0.041040518,-0.45188128,-0.45188128,0.0076977583,0.0076977583,-0.081557498,-0.081557498,0.03334276,0.03334276,-0.44418353,-0.44418353,-0.048214738,-0.048214738,-0.44418353,-0.44418353,-0.048214738,-0.048214738,-2.0567914e-09,-2.0567914e-09,-0.021559335,-0.021559335,-2.0543871e-09,-2.0543871e-09,-0.021559335,-0.021559335,-0.0018137439,-0.0018137439,-0.019745593,-0.019745593,-0.44599727,-0.44599727,-0.53343878,-0.53343878,0.0018137418,0.0018137418,-0.00018293644,-0.00018293644,-0.0022719256,-0.0022719256,-3.4320626e-09,-3.4320626e-09,-0.0024548586,-0.0024548586,-0.019924452,-0.019924452,-0.02656137,-0.02656137,11.483238,11.483238,-1.8851901,-1.8851901,25.425858,25.425858,-1.0688258,-1.0688258,0.010277868,0.010277868,-0.031837205,-0.031837205,-0.089199454,-0.089199454,-0.013592066,-0.013592066,0.7905179,0.7905179,-0.76747562,-0.76747562,0.016908887,0.016908887,-1.0603352e-15,-1.0603352e-15,-2.9019757e-16,-2.9019757e-16,-1.5001997e-15,-1.5001997e-15,3.403011e-15,3.403011e-15,-7.4857445e-15,-7.4857445e-15,0.0002185912,0.0002185912,0.00033973098,0.00033973098
0.033215069,0.033215069,0.51664417,0.51664417,0.54985924,0.54985924,-0.016090334,-0.016090334,-0.049305403,-0.049305403,-0.20425577,-0.20425577,0.073859581,0.073859581,-0.20408673,-0.20408673,0.074104012,0.074104012,-3.0081616e-09,-3.0081616e-09,1.2022676e-16,1.2022676e-16,-0.0019852581,-0.0019852581,-0.021965265,-0.021965265,-0.00023633433,-0.00023633433,-0.0002363326,-0.0002363326,-0.003329507,-0.003329507,-0.51664417,-0.51664417,0.040040858,0.040040858,-0.43746007,-0.43746007,0.0076935992,0.0076935992,-0.079184096,-0.079184096,0.032347259,0.032347259,-0.42976648,-0.42976648,-0.046836837,-0.046836837,-0.42976648,-0.42976648,-0.046836837,-0.046836837,1.2643157e-09,1.2643157e-09,-0.023950524,-0.023950524,1.2665632e-09,1.2665632e-09,-0.023950524,-0.023950524,-0.0019852581,-0.0019852581,-0.021965265,-0.021965265,-0.43175173,-0.43175173,-0.51664417,-0.51664417,0.0019852594,0.0019852594,-0.00017151427,-0.00017151427,-0.0022196713,-0.0022196713,3.3209502e-09,3.3209502e-09,-0.0023911889,-0.0023911889,-0.018965171,-0.018965171,-0.028624279,-0.028624279,11.516168,11.516168,-2.0088845,-2.0088845,24.846089,24.846089,-1.1268446,-1.1268446,0.011249805,0.011249805,-0.035200327,-0.035200327,-0.086350347,-0.086350347,-0.01376042,-0.01376042,0.87938279,0.87938279,-0.85111301,-0.85111301,0.016519983,0.016519983,-1.1393275e-15,-1.1393275e-15,-3.130662e-16,-3.130662e-16,-1.6440494e-15,-1.6440494e-15,3.6629133e-15,3.6629133e-15,-8.1270116e-15,-8.1270116e-15,0.00023242292,0.00023242292,0.00033609276,0.00033609276
0.036292779,0.036292779,0.50027632,0.50027632,0.5365691,0.5365691,-0.012777475,-0.012777475,-0.049070254,-0.049070254,-0.19810575,-0.19810575,0.071901381,0.071901381,-0.19792821,-0.19792821,0.072141139,0.072141139,-1.7417538e-09,-1.7417538e-09,1.278691e-16,1.278691e-16,-0.0021456898,-0.0021456898,-0.024133883,-0.024133883,-0.00027107542,-0.00027107542,-0.00027107381,-0.00027107381,-0.0032529284,-0.0032529284,-0.50027632,-0.50027632,0.039057046,0.039057046,-0.42341104,-0.42341104,0.0076823916,0.0076823916,-0.076865283,-0.076865283,0.031374654,0.031374654,-0.41572865,-0.41572865,-0.045490628,-0.045490628,-0.41572865,-0.41572865,-0.045490628,-0.045490628,-1.9000323e-09,-1.9000323e-09,-0.026279571,-0.026279571,-1.897938e-09,-1.897938e-09,-0.026279571,-0.026279571,-0.0021456898,-0.0021456898,-0.024133883,-0.024133883,-0.41787433,-0.41787433,-0.50027632,-0.50027632,0.0021456879,0.0021456879,-0.00016043161,-0.00016043161,-0.0021686189,-0.0021686189,-3.1645012e-09,-3.1645012e-09,-0.0023290474,-0.0023290474,-0.01802842,-0.01802842,-0.03063974,-0.03063974,11.55011,11.55011,-2.129734,-2.129734,24.281899,24.281899,-1.183529,-1.183529,0.012158896,0.012158896,-0.038438469,-0.038438469,-0.083574867,-0.083574867,-0.013924902,-0.013924902,0.96620378,0.96620378,-0.93236564,-0.93236564,0.016140023,0.016140023,-1.2056798e-15,-1.2056798e-15,-3.3461531e-16,-3.3461531e-16,-1.7738432e-15,-1.7738432e-15,3.883385e-15,3.883385e-15,-8.6927576e-15,-8.6927576e-15,0.0002441132,0.0002441132,0.00032966755,0.00032966755
